Region_ID,Region_Name
2,Central America & Caribbean
1,North America
5,Southeast Asia
8,Western Europe
4,East Asia
1,North America
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
9,Eastern Europe
11,Sub-Saharan Africa
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
1,North America
1,North America
2,Central America & Caribbean
5,Southeast Asia
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
9,Eastern Europe
1,North America
1,North America
1,North America
1,North America
5,Southeast Asia
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
5,Southeast Asia
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
2,Central America & Caribbean
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
11,Sub-Saharan Africa
10,Middle East & North Africa
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
5,Southeast Asia
2,Central America & Caribbean
3,South America
1,North America
1,North America
1,North America
1,North America
3,South America
10,Middle East & North Africa
1,North America
1,North America
2,Central America & Caribbean
4,East Asia
1,North America
1,North America
11,Sub-Saharan Africa
1,North America
1,North America
1,North America
5,Southeast Asia
1,North America
8,Western Europe
1,North America
1,North America
1,North America
3,South America
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
5,Southeast Asia
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
9,Eastern Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
1,North America
1,North America
1,North America
9,Eastern Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
9,Eastern Europe
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
3,South America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
3,South America
1,North America
1,North America
1,North America
3,South America
5,Southeast Asia
1,North America
1,North America
1,North America
1,North America
1,North America
5,Southeast Asia
8,Western Europe
8,Western Europe
1,North America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
1,North America
1,North America
1,North America
3,South America
10,Middle East & North Africa
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
1,North America
1,North America
10,Middle East & North Africa
3,South America
10,Middle East & North Africa
1,North America
3,South America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
3,South America
2,Central America & Caribbean
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
2,Central America & Caribbean
1,North America
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
8,Western Europe
1,North America
1,North America
3,South America
3,South America
3,South America
3,South America
1,North America
8,Western Europe
1,North America
8,Western Europe
1,North America
1,North America
3,South America
1,North America
1,North America
9,Eastern Europe
1,North America
1,North America
3,South America
1,North America
8,Western Europe
9,Eastern Europe
9,Eastern Europe
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
1,North America
1,North America
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
9,Eastern Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
3,South America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
9,Eastern Europe
3,South America
1,North America
1,North America
10,Middle East & North Africa
3,South America
3,South America
8,Western Europe
3,South America
3,South America
3,South America
1,North America
1,North America
1,North America
3,South America
1,North America
9,Eastern Europe
1,North America
3,South America
1,North America
1,North America
8,Western Europe
10,Middle East & North Africa
1,North America
10,Middle East & North Africa
1,North America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
1,North America
1,North America
1,North America
10,Middle East & North Africa
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
8,Western Europe
1,North America
1,North America
10,Middle East & North Africa
1,North America
1,North America
8,Western Europe
1,North America
3,South America
3,South America
3,South America
3,South America
1,North America
3,South America
8,Western Europe
1,North America
1,North America
3,South America
1,North America
12,Australasia & Oceania
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
3,South America
10,Middle East & North Africa
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
6,South Asia
1,North America
1,North America
1,North America
1,North America
3,South America
3,South America
9,Eastern Europe
1,North America
1,North America
1,North America
8,Western Europe
10,Middle East & North Africa
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
8,Western Europe
1,North America
3,South America
3,South America
3,South America
10,Middle East & North Africa
3,South America
1,North America
1,North America
5,Southeast Asia
1,North America
1,North America
10,Middle East & North Africa
1,North America
1,North America
1,North America
1,North America
3,South America
8,Western Europe
3,South America
8,Western Europe
3,South America
3,South America
1,North America
3,South America
1,North America
3,South America
3,South America
1,North America
1,North America
1,North America
1,North America
3,South America
3,South America
1,North America
3,South America
1,North America
1,North America
8,Western Europe
10,Middle East & North Africa
1,North America
10,Middle East & North Africa
3,South America
8,Western Europe
8,Western Europe
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
10,Middle East & North Africa
3,South America
8,Western Europe
1,North America
1,North America
1,North America
3,South America
10,Middle East & North Africa
1,North America
1,North America
1,North America
8,Western Europe
11,Sub-Saharan Africa
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
2,Central America & Caribbean
10,Middle East & North Africa
10,Middle East & North Africa
11,Sub-Saharan Africa
3,South America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
1,North America
3,South America
3,South America
3,South America
8,Western Europe
2,Central America & Caribbean
2,Central America & Caribbean
8,Western Europe
10,Middle East & North Africa
1,North America
3,South America
10,Middle East & North Africa
10,Middle East & North Africa
3,South America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
10,Middle East & North Africa
10,Middle East & North Africa
8,Western Europe
1,North America
10,Middle East & North Africa
8,Western Europe
1,North America
3,South America
10,Middle East & North Africa
5,Southeast Asia
10,Middle East & North Africa
1,North America
1,North America
1,North America
10,Middle East & North Africa
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
10,Middle East & North Africa
2,Central America & Caribbean
10,Middle East & North Africa
1,North America
3,South America
10,Middle East & North Africa
1,North America
8,Western Europe
1,North America
1,North America
1,North America
5,Southeast Asia
5,Southeast Asia
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
8,Western Europe
3,South America
8,Western Europe
8,Western Europe
1,North America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
8,Western Europe
3,South America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
10,Middle East & North Africa
1,North America
3,South America
10,Middle East & North Africa
1,North America
1,North America
5,Southeast Asia
1,North America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
10,Middle East & North Africa
1,North America
10,Middle East & North Africa
8,Western Europe
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
10,Middle East & North Africa
1,North America
1,North America
10,Middle East & North Africa
8,Western Europe
1,North America
10,Middle East & North Africa
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
3,South America
10,Middle East & North Africa
1,North America
1,North America
1,North America
10,Middle East & North Africa
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
3,South America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
1,North America
1,North America
1,North America
1,North America
2,Central America & Caribbean
1,North America
1,North America
1,North America
1,North America
3,South America
1,North America
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
8,Western Europe
10,Middle East & North Africa
9,Eastern Europe
10,Middle East & North Africa
9,Eastern Europe
9,Eastern Europe
9,Eastern Europe
1,North America
1,North America
1,North America
1,North America
8,Western Europe
3,South America
1,North America
1,North America
8,Western Europe
1,North America
8,Western Europe
1,North America
1,North America
8,Western Europe
1,North America
8,Western Europe
1,North America
1,North America
10,Middle East & North Africa
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
1,North America
1,North America
1,North America
10,Middle East & North Africa
3,South America
1,North America
8,Western Europe
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
1,North America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
1,North America
5,Southeast Asia
5,Southeast Asia
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
10,Middle East & North Africa
10,Middle East & North Africa
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
10,Middle East & North Africa
10,Middle East & North Africa
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
1,North America
1,North America
10,Middle East & North Africa
8,Western Europe
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
10,Middle East & North Africa
9,Eastern Europe
1,North America
8,Western Europe
10,Middle East & North Africa
10,Middle East & North Africa
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
1,North America
3,South America
3,South America
3,South America
10,Middle East & North Africa
8,Western Europe
8,Western Europe
10,Middle East & North Africa
1,North America
8,Western Europe
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
4,East Asia
1,North America
12,Australasia & Oceania
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
10,Middle East & North Africa
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
10,Middle East & North Africa
1,North America
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
1,North America
10,Middle East & North Africa
8,Western Europe
2,Central America & Caribbean
5,Southeast Asia
10,Middle East & North Africa
8,Western Europe
3,South America
8,Western Europe
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
10,Middle East & North Africa
10,Middle East & North Africa
10,Middle East & North Africa
10,Middle East & North Africa
10,Middle East & North Africa
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
9,Eastern Europe
1,North America
1,North America
1,North America
8,Western Europe
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
1,North America
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
3,South America
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
8,Western Europe
1,North America
8,Western Europe
8,Western Europe
8,Western Europe
10,Middle East & North Africa
8,Western Europe
8,Western Europe
