Target_ID,Target_Name
14,Private Citizens & Property
7,Government (Diplomatic)
10,Journalists & Media
7,Government (Diplomatic)
7,Government (Diplomatic)
3,Police
3,Police
21,Utilities
4,Military
2,Government (General)
4,Military
4,Military
6,Airports & Aircraft
2,Government (General)
1,Business
2,Government (General)
4,Military
8,Educational Institution
1,Business
1,Business
3,Police
8,Educational Institution
8,Educational Institution
4,Military
22,Violent Political Party
7,Government (Diplomatic)
7,Government (Diplomatic)
1,Business
14,Private Citizens & Property
14,Private Citizens & Property
3,Police
2,Government (General)
3,Police
2,Government (General)
3,Police
15,Religious Figures/Institutions
20,Unknown
1,Business
4,Military
4,Military
3,Police
2,Government (General)
3,Police
1,Business
1,Business
1,Business
14,Private Citizens & Property
19,Transportation
2,Government (General)
15,Religious Figures/Institutions
2,Government (General)
21,Utilities
1,Business
4,Military
8,Educational Institution
1,Business
1,Business
1,Business
14,Private Citizens & Property
6,Airports & Aircraft
8,Educational Institution
3,Police
14,Private Citizens & Property
3,Police
1,Business
4,Military
3,Police
1,Business
1,Business
3,Police
1,Business
21,Utilities
8,Educational Institution
4,Military
3,Police
3,Police
2,Government (General)
8,Educational Institution
8,Educational Institution
6,Airports & Aircraft
6,Airports & Aircraft
3,Police
4,Military
14,Private Citizens & Property
14,Private Citizens & Property
8,Educational Institution
21,Utilities
21,Utilities
21,Utilities
21,Utilities
21,Utilities
4,Military
14,Private Citizens & Property
4,Military
8,Educational Institution
18,Tourists
7,Government (Diplomatic)
6,Airports & Aircraft
4,Military
4,Military
3,Police
3,Police
14,Private Citizens & Property
2,Government (General)
14,Private Citizens & Property
2,Government (General)
4,Military
19,Transportation
14,Private Citizens & Property
2,Government (General)
14,Private Citizens & Property
4,Military
7,Government (Diplomatic)
3,Police
3,Police
8,Educational Institution
14,Private Citizens & Property
15,Religious Figures/Institutions
4,Military
20,Unknown
2,Government (General)
2,Government (General)
1,Business
7,Government (Diplomatic)
4,Military
1,Business
1,Business
3,Police
3,Police
1,Business
4,Military
8,Educational Institution
10,Journalists & Media
6,Airports & Aircraft
4,Military
4,Military
1,Business
3,Police
2,Government (General)
8,Educational Institution
21,Utilities
4,Military
14,Private Citizens & Property
2,Government (General)
1,Business
1,Business
1,Business
1,Business
1,Business
14,Private Citizens & Property
4,Military
4,Military
7,Government (Diplomatic)
1,Business
14,Private Citizens & Property
3,Police
3,Police
7,Government (Diplomatic)
7,Government (Diplomatic)
2,Government (General)
4,Military
7,Government (Diplomatic)
6,Airports & Aircraft
2,Government (General)
8,Educational Institution
7,Government (Diplomatic)
8,Educational Institution
8,Educational Institution
4,Military
4,Military
1,Business
1,Business
1,Business
14,Private Citizens & Property
8,Educational Institution
7,Government (Diplomatic)
4,Military
21,Utilities
1,Business
12,NGO
8,Educational Institution
1,Business
14,Private Citizens & Property
8,Educational Institution
1,Business
4,Military
8,Educational Institution
1,Business
21,Utilities
8,Educational Institution
15,Religious Figures/Institutions
3,Police
1,Business
8,Educational Institution
1,Business
7,Government (Diplomatic)
14,Private Citizens & Property
8,Educational Institution
8,Educational Institution
1,Business
14,Private Citizens & Property
14,Private Citizens & Property
1,Business
3,Police
15,Religious Figures/Institutions
1,Business
1,Business
2,Government (General)
3,Police
8,Educational Institution
6,Airports & Aircraft
1,Business
1,Business
8,Educational Institution
8,Educational Institution
2,Government (General)
3,Police
8,Educational Institution
4,Military
16,Telecommunication
16,Telecommunication
3,Police
8,Educational Institution
3,Police
4,Military
7,Government (Diplomatic)
6,Airports & Aircraft
8,Educational Institution
1,Business
1,Business
1,Business
2,Government (General)
9,Food or Water Supply
2,Government (General)
1,Business
8,Educational Institution
8,Educational Institution
8,Educational Institution
14,Private Citizens & Property
14,Private Citizens & Property
1,Business
2,Government (General)
3,Police
1,Business
15,Religious Figures/Institutions
1,Business
4,Military
4,Military
8,Educational Institution
1,Business
1,Business
1,Business
1,Business
7,Government (Diplomatic)
2,Government (General)
4,Military
2,Government (General)
4,Military
7,Government (Diplomatic)
4,Military
8,Educational Institution
2,Government (General)
1,Business
2,Government (General)
4,Military
4,Military
2,Government (General)
4,Military
2,Government (General)
15,Religious Figures/Institutions
1,Business
4,Military
8,Educational Institution
2,Government (General)
3,Police
1,Business
12,NGO
6,Airports & Aircraft
16,Telecommunication
2,Government (General)
3,Police
4,Military
14,Private Citizens & Property
1,Business
4,Military
8,Educational Institution
8,Educational Institution
1,Business
1,Business
4,Military
1,Business
1,Business
4,Military
2,Government (General)
21,Utilities
2,Government (General)
8,Educational Institution
14,Private Citizens & Property
17,Terrorists/Non-State Militia
3,Police
3,Police
1,Business
1,Business
1,Business
2,Government (General)
15,Religious Figures/Institutions
15,Religious Figures/Institutions
3,Police
