Weapon_ID,Weapon_Name
13,Unknown
13,Unknown
13,Unknown
6,Explosives
8,Incendiary
5,Firearms
5,Firearms
6,Explosives
8,Incendiary
8,Incendiary
6,Explosives
8,Incendiary
5,Firearms
8,Incendiary
8,Incendiary
6,Explosives
13,Unknown
6,Explosives
6,Explosives
8,Incendiary
8,Incendiary
5,Firearms
6,Explosives
6,Explosives
8,Incendiary
13,Unknown
6,Explosives
13,Unknown
6,Explosives
8,Incendiary
5,Firearms
6,Explosives
5,Firearms
8,Incendiary
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
8,Incendiary
13,Unknown
6,Explosives
8,Incendiary
5,Firearms
8,Incendiary
8,Incendiary
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
6,Explosives
8,Incendiary
8,Incendiary
8,Incendiary
8,Incendiary
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
6,Explosives
5,Firearms
8,Incendiary
6,Explosives
8,Incendiary
6,Explosives
6,Explosives
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
5,Firearms
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
8,Incendiary
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
8,Incendiary
8,Incendiary
6,Explosives
8,Incendiary
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
8,Incendiary
6,Explosives
5,Firearms
6,Explosives
6,Explosives
6,Explosives
8,Incendiary
8,Incendiary
6,Explosives
8,Incendiary
13,Unknown
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
5,Firearms
5,Firearms
6,Explosives
6,Explosives
8,Incendiary
2,Chemical
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
6,Explosives
8,Incendiary
13,Unknown
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
6,Explosives
6,Explosives
8,Incendiary
8,Incendiary
13,Unknown
6,Explosives
6,Explosives
5,Firearms
6,Explosives
6,Explosives
8,Incendiary
6,Explosives
6,Explosives
8,Incendiary
5,Firearms
6,Explosives
8,Incendiary
8,Incendiary
6,Explosives
6,Explosives
6,Explosives
